,Pen1,Pen2,Pen3,Pen4,Pen5,Pen6
1,0.0,18.0,7.199999999999999,9.0,0.0,36.0
2,0.0,16.0,6.3999999999999995,0.0,0.0,24.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,10.0,36.0,1.6,0.0,22.0,0.0
5,10.0,12.0,7.999999999999999,0.0,11.0,30.0
6,0.0,16.0,0.0,0.0,11.0,51.0
7,30.0,22.0,3.2,8.0,55.0,30.0
8,0.0,0.0,7.999999999999999,0.0,0.0,0.0
10,0.0,40.0,7.999999999999999,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,10.0,0.0,0.0,11.0,12.0
13,0.0,0.0,0.0,0.0,22.0,0.0
14,15.0,12.0,12.000000000000002,0.0,33.0,416.0
15,15.0,10.0,2.4000000000000004,0.0,22.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,2.4000000000000004,0.0,0.0,0.0
19,0.0,0.0,14.400000000000004,18.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,10.0,4.0,0.0,0.0,10.0
23,0.0,0.0,2.4000000000000004,0.0,0.0,0.0
24,0.0,28.0,0.0,0.0,0.0,11.0
25,0.0,0.0,0.0,14.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0
27,15.0,8.0,0.0,4.0,11.0,12.0
28,0.0,0.0,4.0,0.0,11.0,0.0
29,0.0,24.0,4.8,0.0,0.0,12.0
30,30.0,68.0,0.0,0.0,165.0,0.0
31,10.0,14.0,1.6,0.0,44.0,0.0
32,5.0,28.0,0.0,15.0,44.0,0.0
33,0.0,12.0,0.0,0.0,0.0,12.0
34,10.0,12.0,2.4000000000000004,5.0,33.0,8.0
35,0.0,0.0,0.0,1.0,0.0,1.0
37,0.0,0.0,1.6,3.0,11.0,0.0
38,35.0,28.0,0.0,0.0,44.0,0.0
40,45.0,32.0,28.000000000000014,0.0,99.0,144.0
42,0.0,6.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0
44,20.0,24.0,0.0,9.0,55.0,0.0
45,0.0,12.0,7.199999999999999,9.0,11.0,91.0
46,0.0,20.0,7.999999999999999,0.0,0.0,0.0
47,20.0,38.0,0.0,13.0,66.0,28.0
48,105.0,66.0,4.8,0.0,99.0,36.0
49,0.0,20.0,9.6,5.0,11.0,0.0
51,10.0,14.0,4.0,0.0,22.0,0.0
53,0.0,2.0,1.6,0.0,11.0,0.0
54,20.0,20.0,0.0,6.0,11.0,11.0
55,0.0,8.0,3.2,4.0,11.0,4.0
56,5.0,34.0,4.8,0.0,11.0,13.0
58,30.0,18.0,9.6,0.0,11.0,90.0
59,10.0,12.0,1.6,4.0,11.0,4.0
60,0.0,20.0,4.8,0.0,11.0,0.0
61,0.0,0.0,1.6,0.0,0.0,6.0
62,0.0,0.0,0.0,19.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,20.0,7.999999999999999,10.0,0.0,0.0
65,10.0,4.0,7.199999999999999,0.0,11.0,0.0
66,25.0,22.0,4.8,0.0,33.0,0.0
67,0.0,0.0,12.000000000000002,0.0,0.0,0.0
69,0.0,12.0,4.8,0.0,33.0,12.0
70,0.0,48.0,7.199999999999999,13.0,44.0,116.0
71,0.0,48.0,6.3999999999999995,0.0,0.0,0.0
72,0.0,0.0,0.0,5.0,11.0,0.0
73,0.0,28.0,12.000000000000002,15.0,22.0,0.0
75,20.0,12.0,0.0,0.0,44.0,12.0
76,20.0,52.0,5.6,14.0,44.0,222.0
77,0.0,4.0,1.6,0.0,0.0,0.0
78,10.0,0.0,0.0,0.0,11.0,0.0
79,0.0,8.0,4.8,0.0,22.0,24.0
80,0.0,0.0,11.200000000000001,14.0,0.0,0.0
81,0.0,12.0,0.0,6.0,11.0,0.0
82,20.0,20.0,4.8,0.0,55.0,20.0
83,25.0,14.0,5.6,10.0,44.0,15.0
84,0.0,4.0,0.8,0.0,11.0,0.0
85,0.0,24.0,29.600000000000016,0.0,22.0,20.0
86,0.0,8.0,3.2,0.0,22.0,36.0
87,0.0,30.0,12.000000000000002,0.0,22.0,58.0
88,0.0,12.0,1.6,0.0,22.0,0.0
89,0.0,28.0,5.6,0.0,11.0,0.0
91,0.0,2.0,0.0,1.0,0.0,3.0
92,10.0,74.0,25.600000000000012,0.0,77.0,216.0
93,0.0,0.0,0.0,15.0,0.0,0.0
94,5.0,14.0,5.6,0.0,22.0,12.0
95,0.0,14.0,5.6,0.0,0.0,0.0
96,10.0,34.0,0.0,13.0,77.0,87.0
97,10.0,6.0,14.400000000000004,0.0,22.0,448.0
98,0.0,20.0,7.999999999999999,0.0,0.0,0.0
99,5.0,10.0,4.8,0.0,22.0,0.0
